Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,year,Month,Weekday,Month_name,Spending Tier,Age Group
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,2023,11,Friday,November,3,26 to 35
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,2023,2,Monday,February,4,26 to 35
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,2023,1,Friday,January,1,36 to 50
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,2023,5,Sunday,May,3,36 to 50
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,2023,5,Saturday,May,2,26 to 35
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,2023,4,Tuesday,April,1,36 to 50
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,2023,3,Monday,March,1,36 to 50
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,2023,2,Wednesday,February,2,26 to 35
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,2023,12,Wednesday,December,3,51+
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,2023,10,Saturday,October,3,51+
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,2023,2,Tuesday,February,2,18 to 25
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,2023,10,Monday,October,2,26 to 35
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,2023,8,Saturday,August,4,18 to 25
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,2023,1,Tuesday,January,2,51+
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,2023,1,Monday,January,4,36 to 50
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,2023,2,Friday,February,4,18 to 25
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,2023,4,Saturday,April,2,26 to 35
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,2023,4,Sunday,April,1,36 to 50
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,2023,9,Saturday,September,1,51+
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,2023,11,Sunday,November,3,18 to 25
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,2023,1,Saturday,January,3,36 to 50
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,2023,10,Sunday,October,2,18 to 25
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,2023,4,Wednesday,April,2,26 to 35
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,2023,11,Wednesday,November,3,36 to 50
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,2023,12,Tuesday,December,1,51+
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,2023,10,Saturday,October,4,26 to 35
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,2023,8,Thursday,August,1,36 to 50
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,2023,4,Sunday,April,3,36 to 50
29,8/18/2023,CUST029,Female,42,Electronics,1,30,30,2023,8,Friday,August,1,36 to 50
30,10/29/2023,CUST030,Female,39,Beauty,3,300,900,2023,10,Sunday,October,3,36 to 50
31,5/23/2023,CUST031,Male,44,Electronics,4,300,1200,2023,5,Tuesday,May,4,36 to 50
32,1/4/2023,CUST032,Male,30,Beauty,3,30,90,2023,1,Wednesday,January,2,26 to 35
33,3/23/2023,CUST033,Female,50,Electronics,2,50,100,2023,3,Thursday,March,2,36 to 50
34,12/24/2023,CUST034,Female,51,Clothing,3,50,150,2023,12,Sunday,December,3,51+
35,8/5/2023,CUST035,Female,58,Beauty,3,300,900,2023,8,Saturday,August,3,51+
36,6/24/2023,CUST036,Male,52,Beauty,3,300,900,2023,6,Saturday,June,3,51+
37,5/23/2023,CUST037,Female,18,Beauty,3,25,75,2023,5,Tuesday,May,2,18 to 25
38,3/21/2023,CUST038,Male,38,Beauty,4,50,200,2023,3,Tuesday,March,3,36 to 50
39,4/21/2023,CUST039,Male,23,Clothing,4,30,120,2023,4,Friday,April,2,18 to 25
40,6/22/2023,CUST040,Male,45,Beauty,1,50,50,2023,6,Thursday,June,1,36 to 50
41,2/22/2023,CUST041,Male,34,Clothing,2,25,50,2023,2,Wednesday,February,1,26 to 35
42,2/17/2023,CUST042,Male,22,Clothing,3,300,900,2023,2,Friday,February,3,18 to 25
43,7/14/2023,CUST043,Female,48,Clothing,1,300,300,2023,7,Friday,July,3,36 to 50
44,2/19/2023,CUST044,Female,22,Clothing,1,25,25,2023,2,Sunday,February,1,18 to 25
45,7/3/2023,CUST045,Female,55,Electronics,1,30,30,2023,7,Monday,July,1,51+
46,6/26/2023,CUST046,Female,20,Electronics,4,300,1200,2023,6,Monday,June,4,18 to 25
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500,2023,11,Monday,November,4,36 to 50
48,5/16/2023,CUST048,Male,54,Electronics,3,300,900,2023,5,Tuesday,May,3,51+
49,1/23/2023,CUST049,Female,54,Electronics,2,500,1000,2023,1,Monday,January,4,51+
50,8/24/2023,CUST050,Female,27,Beauty,3,25,75,2023,8,Thursday,August,2,26 to 35
51,10/2/2023,CUST051,Male,27,Beauty,3,25,75,2023,10,Monday,October,2,26 to 35
52,3/5/2023,CUST052,Female,36,Beauty,1,300,300,2023,3,Sunday,March,3,36 to 50
53,7/13/2023,CUST053,Male,34,Electronics,2,50,100,2023,7,Thursday,July,2,26 to 35
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500,2023,2,Friday,February,4,36 to 50
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,2023,10,Tuesday,October,2,26 to 35
56,5/31/2023,CUST056,Female,26,Clothing,3,300,900,2023,5,Wednesday,May,3,26 to 35
57,11/18/2023,CUST057,Female,63,Beauty,1,30,30,2023,11,Saturday,November,1,51+
58,11/13/2023,CUST058,Male,18,Clothing,4,300,1200,2023,11,Monday,November,4,18 to 25
59,7/5/2023,CUST059,Male,62,Clothing,1,50,50,2023,7,Wednesday,July,1,51+
60,10/23/2023,CUST060,Male,30,Beauty,3,50,150,2023,10,Monday,October,3,26 to 35
61,4/9/2023,CUST061,Male,21,Beauty,4,50,200,2023,4,Sunday,April,3,18 to 25
62,12/27/2023,CUST062,Male,18,Beauty,2,50,100,2023,12,Wednesday,December,2,18 to 25
63,2/5/2023,CUST063,Male,57,Electronics,2,25,50,2023,2,Sunday,February,1,51+
64,1/24/2023,CUST064,Male,49,Clothing,4,25,100,2023,1,Tuesday,January,2,36 to 50
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000,2023,12,Tuesday,December,4,51+
66,4/27/2023,CUST066,Female,45,Electronics,1,30,30,2023,4,Thursday,April,1,36 to 50
67,5/29/2023,CUST067,Female,48,Beauty,4,300,1200,2023,5,Monday,May,4,36 to 50
68,2/10/2023,CUST068,Male,25,Electronics,1,300,300,2023,2,Friday,February,3,18 to 25
69,4/30/2023,CUST069,Female,56,Beauty,3,25,75,2023,4,Sunday,April,2,51+
70,2/21/2023,CUST070,Female,43,Clothing,1,300,300,2023,2,Tuesday,February,3,36 to 50
71,7/14/2023,CUST071,Female,51,Beauty,4,25,100,2023,7,Friday,July,2,51+
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000,2023,5,Tuesday,May,4,18 to 25
73,8/21/2023,CUST073,Male,29,Electronics,3,30,90,2023,8,Monday,August,2,26 to 35
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000,2023,11,Wednesday,November,4,18 to 25
75,7/6/2023,CUST075,Male,61,Beauty,4,50,200,2023,7,Thursday,July,3,51+
76,3/25/2023,CUST076,Female,22,Electronics,2,50,100,2023,3,Saturday,March,2,18 to 25
77,7/9/2023,CUST077,Female,47,Clothing,2,50,100,2023,7,Sunday,July,2,36 to 50
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500,2023,7,Saturday,July,4,36 to 50
79,4/18/2023,CUST079,Male,34,Beauty,1,300,300,2023,4,Tuesday,April,3,26 to 35
80,12/10/2023,CUST080,Female,64,Clothing,2,30,60,2023,12,Sunday,December,1,51+
81,5/17/2023,CUST081,Male,40,Electronics,1,50,50,2023,5,Wednesday,May,1,36 to 50
82,12/26/2023,CUST082,Female,32,Beauty,4,50,200,2023,12,Tuesday,December,3,26 to 35
83,12/16/2023,CUST083,Male,54,Electronics,2,50,100,2023,12,Saturday,December,2,51+
84,11/28/2023,CUST084,Female,38,Electronics,3,30,90,2023,11,Tuesday,November,2,36 to 50
85,2/6/2023,CUST085,Male,31,Clothing,3,50,150,2023,2,Monday,February,3,26 to 35
86,11/8/2023,CUST086,Male,19,Beauty,3,30,90,2023,11,Wednesday,November,2,18 to 25
87,11/22/2023,CUST087,Female,28,Beauty,2,50,100,2023,11,Wednesday,November,2,26 to 35
88,3/29/2023,CUST088,Male,56,Clothing,1,500,500,2023,3,Wednesday,March,3,51+
89,10/1/2023,CUST089,Female,55,Electronics,4,500,2000,2023,10,Sunday,October,4,51+
90,5/6/2023,CUST090,Female,51,Electronics,1,30,30,2023,5,Saturday,May,1,51+
91,3/25/2023,CUST091,Female,55,Electronics,1,500,500,2023,3,Saturday,March,3,51+
92,8/25/2023,CUST092,Female,51,Electronics,4,30,120,2023,8,Friday,August,2,51+
93,7/14/2023,CUST093,Female,35,Beauty,4,500,2000,2023,7,Friday,July,4,26 to 35
94,5/19/2023,CUST094,Female,47,Beauty,2,500,1000,2023,5,Friday,May,4,36 to 50
95,11/24/2023,CUST095,Female,32,Clothing,2,30,60,2023,11,Friday,November,1,26 to 35
96,12/19/2023,CUST096,Female,44,Clothing,2,300,600,2023,12,Tuesday,December,3,36 to 50
97,10/13/2023,CUST097,Female,51,Beauty,2,500,1000,2023,10,Friday,October,4,51+
98,4/23/2023,CUST098,Female,55,Beauty,2,50,100,2023,4,Sunday,April,2,51+
99,12/17/2023,CUST099,Female,50,Electronics,4,300,1200,2023,12,Sunday,December,4,36 to 50
100,6/16/2023,CUST100,Male,41,Electronics,1,30,30,2023,6,Friday,June,1,36 to 50
101,1/29/2023,CUST101,Male,32,Clothing,2,300,600,2023,1,Sunday,January,3,26 to 35
102,4/28/2023,CUST102,Female,47,Beauty,2,25,50,2023,4,Friday,April,1,36 to 50
103,1/17/2023,CUST103,Female,59,Clothing,1,25,25,2023,1,Tuesday,January,1,51+
104,6/11/2023,CUST104,Female,34,Beauty,2,500,1000,2023,6,Sunday,June,4,26 to 35
105,7/25/2023,CUST105,Female,22,Electronics,1,500,500,2023,7,Tuesday,July,3,18 to 25
106,5/18/2023,CUST106,Female,46,Clothing,1,50,50,2023,5,Thursday,May,1,36 to 50
107,2/3/2023,CUST107,Female,21,Clothing,4,300,1200,2023,2,Friday,February,4,18 to 25
108,4/19/2023,CUST108,Female,27,Beauty,3,25,75,2023,4,Wednesday,April,2,26 to 35
109,10/18/2023,CUST109,Female,34,Electronics,4,500,2000,2023,10,Wednesday,October,4,26 to 35
110,6/11/2023,CUST110,Male,27,Clothing,3,300,900,2023,6,Sunday,June,3,26 to 35
111,4/19/2023,CUST111,Female,34,Electronics,3,500,1500,2023,4,Wednesday,April,4,26 to 35
112,12/2/2023,CUST112,Male,37,Clothing,3,500,1500,2023,12,Saturday,December,4,36 to 50
113,9/13/2023,CUST113,Female,41,Electronics,2,25,50,2023,9,Wednesday,September,1,36 to 50
114,7/22/2023,CUST114,Female,22,Beauty,4,25,100,2023,7,Saturday,July,2,18 to 25
115,11/26/2023,CUST115,Male,51,Clothing,3,500,1500,2023,11,Sunday,November,4,51+
116,8/23/2023,CUST116,Female,23,Clothing,1,30,30,2023,8,Wednesday,August,1,18 to 25
117,3/15/2023,CUST117,Male,19,Electronics,2,500,1000,2023,3,Wednesday,March,4,18 to 25
118,5/16/2023,CUST118,Female,30,Electronics,4,500,2000,2023,5,Tuesday,May,4,26 to 35
119,3/13/2023,CUST119,Female,60,Clothing,3,50,150,2023,3,Monday,March,3,51+
120,5/7/2023,CUST120,Male,60,Beauty,1,50,50,2023,5,Sunday,May,1,51+
121,10/15/2023,CUST121,Female,28,Electronics,4,50,200,2023,10,Sunday,October,3,26 to 35
122,10/3/2023,CUST122,Male,64,Electronics,4,30,120,2023,10,Tuesday,October,2,51+
123,5/15/2023,CUST123,Female,40,Electronics,2,30,60,2023,5,Monday,May,1,36 to 50
124,10/27/2023,CUST124,Male,33,Clothing,4,500,2000,2023,10,Friday,October,4,26 to 35
125,8/8/2023,CUST125,Male,48,Clothing,2,50,100,2023,8,Tuesday,August,2,36 to 50
126,10/26/2023,CUST126,Female,28,Clothing,3,30,90,2023,10,Thursday,October,2,26 to 35
127,7/24/2023,CUST127,Female,33,Clothing,2,25,50,2023,7,Monday,July,1,26 to 35
128,7/5/2023,CUST128,Male,25,Beauty,1,500,500,2023,7,Wednesday,July,3,18 to 25
129,4/23/2023,CUST129,Female,21,Beauty,2,300,600,2023,4,Sunday,April,3,18 to 25
130,3/12/2023,CUST130,Female,57,Clothing,1,500,500,2023,3,Sunday,March,3,51+
131,9/18/2023,CUST131,Female,21,Beauty,2,300,600,2023,9,Monday,September,3,18 to 25
132,9/10/2023,CUST132,Male,42,Electronics,4,50,200,2023,9,Sunday,September,3,36 to 50
133,2/16/2023,CUST133,Male,20,Electronics,3,300,900,2023,2,Thursday,February,3,18 to 25
134,1/25/2023,CUST134,Male,49,Electronics,1,50,50,2023,1,Wednesday,January,1,36 to 50
135,2/26/2023,CUST135,Male,20,Clothing,2,25,50,2023,2,Sunday,February,1,18 to 25
136,3/20/2023,CUST136,Male,44,Electronics,2,300,600,2023,3,Monday,March,3,36 to 50
137,11/18/2023,CUST137,Male,46,Beauty,2,500,1000,2023,11,Saturday,November,4,36 to 50
138,3/23/2023,CUST138,Male,49,Clothing,4,50,200,2023,3,Thursday,March,3,36 to 50
139,12/15/2023,CUST139,Male,36,Beauty,4,500,2000,2023,12,Friday,December,4,36 to 50
140,8/5/2023,CUST140,Male,38,Electronics,1,30,30,2023,8,Saturday,August,1,36 to 50
141,11/2/2023,CUST141,Female,22,Electronics,1,50,50,2023,11,Thursday,November,1,18 to 25
142,2/2/2023,CUST142,Male,35,Electronics,4,300,1200,2023,2,Thursday,February,4,26 to 35
143,7/17/2023,CUST143,Female,45,Clothing,1,50,50,2023,7,Monday,July,1,36 to 50
144,7/15/2023,CUST144,Female,59,Beauty,3,500,1500,2023,7,Saturday,July,4,51+
145,11/2/2023,CUST145,Female,39,Clothing,3,25,75,2023,11,Thursday,November,2,36 to 50
146,8/28/2023,CUST146,Male,38,Clothing,4,50,200,2023,8,Monday,August,3,36 to 50
147,9/28/2023,CUST147,Male,23,Electronics,1,300,300,2023,9,Thursday,September,3,18 to 25
148,5/9/2023,CUST148,Male,18,Clothing,2,30,60,2023,5,Tuesday,May,1,18 to 25
149,10/11/2023,CUST149,Male,22,Clothing,3,25,75,2023,10,Wednesday,October,2,18 to 25
150,1/6/2023,CUST150,Female,58,Electronics,4,30,120,2023,1,Friday,January,2,51+
151,12/15/2023,CUST151,Male,29,Clothing,1,50,50,2023,12,Friday,December,1,26 to 35
152,2/28/2023,CUST152,Male,43,Electronics,4,500,2000,2023,2,Tuesday,February,4,36 to 50
153,12/16/2023,CUST153,Male,63,Electronics,2,500,1000,2023,12,Saturday,December,4,51+
154,10/2/2023,CUST154,Male,51,Electronics,3,300,900,2023,10,Monday,October,3,51+
155,5/17/2023,CUST155,Male,31,Electronics,4,500,2000,2023,5,Wednesday,May,4,26 to 35
156,11/25/2023,CUST156,Female,43,Clothing,4,25,100,2023,11,Saturday,November,2,36 to 50
157,6/24/2023,CUST157,Male,62,Electronics,4,500,2000,2023,6,Saturday,June,4,51+
158,2/27/2023,CUST158,Female,44,Electronics,2,300,600,2023,2,Monday,February,3,36 to 50
159,5/31/2023,CUST159,Male,26,Clothing,4,50,200,2023,5,Wednesday,May,3,26 to 35
160,8/11/2023,CUST160,Female,43,Clothing,2,50,100,2023,8,Friday,August,2,36 to 50
161,3/22/2023,CUST161,Male,64,Beauty,2,500,1000,2023,3,Wednesday,March,4,51+
162,8/21/2023,CUST162,Male,39,Clothing,2,30,60,2023,8,Monday,August,1,36 to 50
163,1/2/2023,CUST163,Female,64,Clothing,3,50,150,2023,1,Monday,January,3,51+
164,5/15/2023,CUST164,Female,47,Beauty,3,500,1500,2023,5,Monday,May,4,36 to 50
165,9/14/2023,CUST165,Female,60,Clothing,4,300,1200,2023,9,Thursday,September,4,51+
166,4/2/2023,CUST166,Male,34,Clothing,4,500,2000,2023,4,Sunday,April,4,26 to 35
167,9/17/2023,CUST167,Female,43,Clothing,3,50,150,2023,9,Sunday,September,3,36 to 50
168,2/24/2023,CUST168,Male,53,Clothing,1,300,300,2023,2,Friday,February,3,51+
169,11/17/2023,CUST169,Male,18,Beauty,3,500,1500,2023,11,Friday,November,4,18 to 25
170,6/2/2023,CUST170,Female,25,Clothing,2,25,50,2023,6,Friday,June,1,18 to 25
171,11/24/2023,CUST171,Female,52,Clothing,3,300,900,2023,11,Friday,November,3,51+
172,9/17/2023,CUST172,Male,32,Beauty,2,25,50,2023,9,Sunday,September,1,26 to 35
173,11/8/2023,CUST173,Male,64,Electronics,4,30,120,2023,11,Wednesday,November,2,51+
174,4/12/2023,CUST174,Female,39,Beauty,1,300,300,2023,4,Wednesday,April,3,36 to 50
175,3/20/2023,CUST175,Female,31,Electronics,4,25,100,2023,3,Monday,March,2,26 to 35
176,7/11/2023,CUST176,Female,43,Beauty,2,50,100,2023,7,Tuesday,July,2,36 to 50
177,3/24/2023,CUST177,Male,45,Beauty,2,50,100,2023,3,Friday,March,2,36 to 50
178,10/4/2023,CUST178,Male,40,Clothing,2,30,60,2023,10,Wednesday,October,1,36 to 50
179,9/29/2023,CUST179,Male,31,Electronics,1,300,300,2023,9,Friday,September,3,26 to 35
180,1/1/2023,CUST180,Male,41,Clothing,3,300,900,2023,1,Sunday,January,3,36 to 50
181,11/3/2023,CUST181,Male,19,Electronics,4,300,1200,2023,11,Friday,November,4,18 to 25
182,6/15/2023,CUST182,Male,62,Beauty,4,30,120,2023,6,Thursday,June,2,51+
183,9/8/2023,CUST183,Female,43,Beauty,3,300,900,2023,9,Friday,September,3,36 to 50
184,1/10/2023,CUST184,Male,31,Electronics,4,50,200,2023,1,Tuesday,January,3,26 to 35
185,2/27/2023,CUST185,Male,24,Clothing,1,25,25,2023,2,Monday,February,1,18 to 25
186,7/5/2023,CUST186,Male,20,Clothing,4,50,200,2023,7,Wednesday,July,3,18 to 25
187,6/7/2023,CUST187,Female,64,Clothing,2,50,100,2023,6,Wednesday,June,2,51+
188,5/3/2023,CUST188,Male,40,Clothing,3,25,75,2023,5,Wednesday,May,2,36 to 50
189,1/30/2023,CUST189,Male,63,Beauty,1,50,50,2023,1,Monday,January,1,51+
190,5/4/2023,CUST190,Female,60,Beauty,3,30,90,2023,5,Thursday,May,2,51+
191,10/18/2023,CUST191,Male,64,Beauty,1,25,25,2023,10,Wednesday,October,1,51+
192,2/10/2023,CUST192,Male,62,Beauty,2,50,100,2023,2,Friday,February,2,51+
193,2/13/2023,CUST193,Male,35,Beauty,3,500,1500,2023,2,Monday,February,4,26 to 35
194,9/6/2023,CUST194,Male,55,Clothing,4,50,200,2023,9,Wednesday,September,3,51+
195,2/5/2023,CUST195,Male,52,Clothing,1,30,30,2023,2,Sunday,February,1,51+
196,9/30/2023,CUST196,Female,32,Clothing,3,300,900,2023,9,Saturday,September,3,26 to 35
197,3/6/2023,CUST197,Female,42,Clothing,4,50,200,2023,3,Monday,March,3,36 to 50
198,3/7/2023,CUST198,Female,54,Beauty,3,300,900,2023,3,Tuesday,March,3,51+
199,12/4/2023,CUST199,Male,45,Beauty,3,500,1500,2023,12,Monday,December,4,36 to 50
200,9/1/2023,CUST200,Male,27,Beauty,3,50,150,2023,9,Friday,September,3,26 to 35
201,10/9/2023,CUST201,Male,56,Electronics,1,25,25,2023,10,Monday,October,1,51+
202,3/26/2023,CUST202,Female,34,Clothing,4,300,1200,2023,3,Sunday,March,4,26 to 35
203,5/16/2023,CUST203,Male,56,Clothing,2,500,1000,2023,5,Tuesday,May,4,51+
204,9/28/2023,CUST204,Male,39,Beauty,1,25,25,2023,9,Thursday,September,1,36 to 50
205,11/7/2023,CUST205,Female,43,Clothing,1,25,25,2023,11,Tuesday,November,1,36 to 50
206,8/5/2023,CUST206,Male,61,Clothing,1,25,25,2023,8,Saturday,August,1,51+
207,4/19/2023,CUST207,Female,42,Beauty,2,25,50,2023,4,Wednesday,April,1,36 to 50
208,10/4/2023,CUST208,Female,34,Electronics,4,50,200,2023,10,Wednesday,October,3,26 to 35
209,12/20/2023,CUST209,Female,30,Electronics,4,50,200,2023,12,Wednesday,December,3,26 to 35
210,4/13/2023,CUST210,Male,37,Electronics,4,50,200,2023,4,Thursday,April,3,36 to 50
211,1/1/2024,CUST211,Male,42,Beauty,3,500,1500,2024,1,Monday,January,4,36 to 50
212,6/9/2023,CUST212,Male,21,Clothing,3,500,1500,2023,6,Friday,June,4,18 to 25
213,7/24/2023,CUST213,Male,27,Beauty,3,500,1500,2023,7,Monday,July,4,26 to 35
214,12/10/2023,CUST214,Male,20,Beauty,2,30,60,2023,12,Sunday,December,1,18 to 25
215,11/29/2023,CUST215,Male,58,Clothing,3,500,1500,2023,11,Wednesday,November,4,51+
216,7/11/2023,CUST216,Male,62,Electronics,2,50,100,2023,7,Tuesday,July,2,51+
217,8/13/2023,CUST217,Female,35,Electronics,4,50,200,2023,8,Sunday,August,3,26 to 35
218,9/22/2023,CUST218,Male,64,Beauty,3,30,90,2023,9,Friday,September,2,51+
219,8/20/2023,CUST219,Female,53,Electronics,3,30,90,2023,8,Sunday,August,2,51+
220,3/3/2023,CUST220,Male,64,Beauty,1,500,500,2023,3,Friday,March,3,51+
221,5/7/2023,CUST221,Male,39,Beauty,2,300,600,2023,5,Sunday,May,3,36 to 50
222,4/26/2023,CUST222,Male,51,Clothing,4,30,120,2023,4,Wednesday,April,2,51+
223,2/2/2023,CUST223,Female,64,Clothing,1,25,25,2023,2,Thursday,February,1,51+
224,6/23/2023,CUST224,Female,25,Clothing,1,50,50,2023,6,Friday,June,1,18 to 25
225,1/11/2023,CUST225,Female,57,Beauty,4,25,100,2023,1,Wednesday,January,2,51+
226,10/29/2023,CUST226,Female,61,Clothing,1,50,50,2023,10,Sunday,October,1,51+
227,10/11/2023,CUST227,Male,36,Electronics,2,50,100,2023,10,Wednesday,October,2,36 to 50
228,4/28/2023,CUST228,Female,59,Electronics,2,30,60,2023,4,Friday,April,1,51+
229,10/29/2023,CUST229,Male,58,Beauty,3,30,90,2023,10,Sunday,October,2,51+
230,4/23/2023,CUST230,Male,54,Beauty,1,25,25,2023,4,Sunday,April,1,51+
231,1/4/2023,CUST231,Female,23,Clothing,3,50,150,2023,1,Wednesday,January,3,18 to 25
232,2/6/2023,CUST232,Female,43,Beauty,1,25,25,2023,2,Monday,February,1,36 to 50
233,12/29/2023,CUST233,Female,51,Beauty,2,300,600,2023,12,Friday,December,3,51+
234,11/20/2023,CUST234,Female,62,Electronics,2,25,50,2023,11,Monday,November,1,51+
235,1/31/2023,CUST235,Female,23,Electronics,2,500,1000,2023,1,Tuesday,January,4,18 to 25
236,4/28/2023,CUST236,Female,54,Clothing,1,25,25,2023,4,Friday,April,1,51+
237,2/4/2023,CUST237,Female,50,Beauty,2,500,1000,2023,2,Saturday,February,4,36 to 50
238,1/17/2023,CUST238,Female,39,Beauty,1,500,500,2023,1,Tuesday,January,3,36 to 50
239,6/19/2023,CUST239,Male,38,Electronics,3,500,1500,2023,6,Monday,June,4,36 to 50
240,2/6/2023,CUST240,Female,23,Beauty,1,300,300,2023,2,Monday,February,3,18 to 25
241,9/21/2023,CUST241,Female,23,Electronics,3,25,75,2023,9,Thursday,September,2,18 to 25
242,5/2/2023,CUST242,Male,21,Clothing,1,25,25,2023,5,Tuesday,May,1,18 to 25
243,5/23/2023,CUST243,Female,47,Electronics,3,300,900,2023,5,Tuesday,May,3,36 to 50
244,12/9/2023,CUST244,Male,28,Beauty,2,50,100,2023,12,Saturday,December,2,26 to 35
245,9/6/2023,CUST245,Male,47,Clothing,3,30,90,2023,9,Wednesday,September,2,36 to 50
246,4/20/2023,CUST246,Female,48,Electronics,2,25,50,2023,4,Thursday,April,1,36 to 50
247,10/4/2023,CUST247,Male,41,Electronics,2,30,60,2023,10,Wednesday,October,1,36 to 50
248,3/9/2023,CUST248,Male,26,Clothing,3,300,900,2023,3,Thursday,March,3,26 to 35
249,10/20/2023,CUST249,Male,20,Clothing,1,50,50,2023,10,Friday,October,1,18 to 25
